id,name,text,trans
0000000000000,ディレクター,──あ、七草ちゃん、２８３さん！,
0000000000000,プロデューサー,あ、お疲れ様です……！,
2024016010010,にちか,お疲れ様ですー\nもしかして、なんかダメ出しされちゃう感じですー？,
0000000000000,ディレクター,いやいや、違うって……！　来季から新しい番組\n始まるから出てほしいなーって思っててさ,
0000000000000,プロデューサー,え、本当ですか？\nありがとうございます……！,
2024016010020,にちか,それ、レギュラーです？,
0000000000000,ディレクター,うーん……ぶっちゃけ言うと──\nそれはちょーっと難しいかも……っていう塩梅かな,
2024016010030,にちか,うわー、\nそれ可能性ほぼゼロのやつー,
2024016010040,にちか,でも、お仕事いただけるなら──\n謹んで、やらせていただきますねー,
0000000000000,プロデューサー,……にちか、慌ただしいところすまないんだが──\nこの前受けたオーディションの結果が出てる,
2024016010050,にちか,あー……えっと──,
0000000000000,プロデューサー,バラエティー番組と、アパレルのCM……\nあと、新しくできた道の駅のキャンペーンガール、だな,
2024016010060,にちか,あー……\nそうでしたね,
2024016010070,にちか,じゃあ結果、お願いします,
0000000000000,プロデューサー,おう……\nじゃあ、まずは──,
0000000000000,プロデューサー,道の駅のキャンペーンガール、\n合格だ,
2024016010080,にちか,……！,
0000000000000,プロデューサー,…………\nもうふたつは、残念だけど──,
2024016010090,にちか,……,
2024016010100,にちか,言う順番、逆の方がよかったと思います,
0000000000000,プロデューサー,あっ、そうだな……\nすまん,
2024016010110,にちか,──じゃ、出してもらっていいです？\nレッスン室、もう空いてるんですよねー,
0000000000000,プロデューサー,ああ、じゃあ出発するな,
2024016010120,にちか,はーい、お願いしまーす,
2024016010130,off,……同じ,
2024016010140,off,思ってたのと同じ,
2024016010150,off,なんで、\nわかってたのと同じことしか起こらないんだろ,
2024016010160,off,……時間は『同じ』じゃないのに──,
0000000000000,プロデューサー,…………\n道の駅の撮影、来週なんだけどさ……,
0000000000000,プロデューサー,自然が多いところみたいだし、\n少し羽を伸ばしてみるのもいいんじゃないか？,
0000000000000,プロデューサー,もちろん、時間があれば、だけど──,
2024016010170,にちか,──なんでです？,
0000000000000,プロデューサー,え……,
2024016010180,にちか,必要ないです、そんなの,
0000000000000,プロデューサー,…………,
select,,いらないか？\n休憩,
select,,そうか……,
select,,でも、\nせっかく……,
2024016010190,にちか,いらないです\nていうか、そんなに疲れて見えるんですかねー,
0000000000000,プロデューサー,見えないよ、\nだって、見せてないだろ,
2024016010200,にちか,……,
2024016010210,にちか,だったらなおさら……\n汲んでほしいです,
0000000000000,プロデューサー,汲みたいって思ってるんだが……\nまた──……間違えたな,
2024016010220,にちか,……ですね,
2024016010230,にちか,そうです,
0000000000000,プロデューサー,じゃあ……\nにちかの気が変わることを心の中で祈っておくよ,
2024016010240,にちか,いや、言っちゃってますから\n普通に,
0000000000000,プロデューサー,はは……そうだな,
2024016010250,にちか,別になんにも面白くないですー,
0000000000000,プロデューサー,行くんだしさ,
2024016010260,にちか,はいはい、わかりました\n考えておきますねー,
0000000000000,プロデューサー,おう、俺も考えとく──いや、選んでおくよ\nにちかが喜びそうな……,
2024016010270,にちか,……？,
0000000000000,プロデューサー,美味しくて、お手頃なものを探しておく,
2024016010280,にちか,…………,
2024016010290,にちか,見つけてなかったらパンチしますので,
0000000000000,プロデューサー,ああ、了解だ,
info,produce_events/202401601.json,,
译者,,,
